번호,장수명,장수ID,초상화 파일,전신 파일
0001,"유비","liubei",resources/officers/portraits/0001.png,resources/officers/fullbody/0001.png
0002,"관우","guanyu",resources/officers/portraits/0002.png,resources/officers/fullbody/0002.png
0003,"장비","zhangfei",resources/officers/portraits/0003.png,resources/officers/fullbody/0003.png
0004,"조운","zhaoyun",resources/officers/portraits/0004.png,resources/officers/fullbody/0004.png
0005,"제갈량","zhugeliang",resources/officers/portraits/0005.png,resources/officers/fullbody/0005.png
0006,"방통","pangtong",resources/officers/portraits/0006.png,resources/officers/fullbody/0006.png
0007,"법정","fazheng",resources/officers/portraits/0007.png,resources/officers/fullbody/0007.png
0008,"서서","xushu",resources/officers/portraits/0008.png,resources/officers/fullbody/0008.png
0009,"황충","huangzhong",resources/officers/portraits/0009.png,resources/officers/fullbody/0009.png
0010,"위연","weiyan",resources/officers/portraits/0010.png,resources/officers/fullbody/0010.png
0011,"관평","guanping",resources/officers/portraits/0011.png,resources/officers/fullbody/0011.png
0012,"요화","liaohua",resources/officers/portraits/0012.png,resources/officers/fullbody/0012.png
0013,"마초","machao",resources/officers/portraits/0013.png,resources/officers/fullbody/0013.png
0014,"마대","madai",resources/officers/portraits/0014.png,resources/officers/fullbody/0014.png
0015,"강유","jiangwei",resources/officers/portraits/0015.png,resources/officers/fullbody/0015.png
0016,"왕평","wangping",resources/officers/portraits/0016.png,resources/officers/fullbody/0016.png
0017,"마량","ma_liang",resources/officers/portraits/0017.png,resources/officers/fullbody/0017.png
0018,"마속","ma_su",resources/officers/portraits/0018.png,resources/officers/fullbody/0018.png
0019,"장완","jiangwan",resources/officers/portraits/0019.png,resources/officers/fullbody/0019.png
0020,"비의","feiyi",resources/officers/portraits/0020.png,resources/officers/fullbody/0020.png
0021,"등지","dengzhi",resources/officers/portraits/0021.png,resources/officers/fullbody/0021.png
0022,"동윤","dongyun",resources/officers/portraits/0022.png,resources/officers/fullbody/0022.png
0023,"이엄","liy an",resources/officers/portraits/0023.png,resources/officers/fullbody/0023.png
0024,"오의","wuyi",resources/officers/portraits/0024.png,resources/officers/fullbody/0024.png
0025,"장익","zhangyi_shu",resources/officers/portraits/0025.png,resources/officers/fullbody/0025.png
0026,"장억","zhangni",resources/officers/portraits/0026.png,resources/officers/fullbody/0026.png
0027,"유봉","liufeng",resources/officers/portraits/0027.png,resources/officers/fullbody/0027.png
0028,"맹달","mengda",resources/officers/portraits/0028.png,resources/officers/fullbody/0028.png
0029,"진도","chen_dao",resources/officers/portraits/0029.png,resources/officers/fullbody/0029.png
0030,"제갈첨","zhug ezhan",resources/officers/portraits/0030.png,resources/officers/fullbody/0030.png
0031,"조조","caocao",resources/officers/portraits/0031.png,resources/officers/fullbody/0031.png
0032,"조비","caopi",resources/officers/portraits/0032.png,resources/officers/fullbody/0032.png
0033,"조앙","caoang",resources/officers/portraits/0033.png,resources/officers/fullbody/0033.png
0034,"조인","caoren",resources/officers/portraits/0034.png,resources/officers/fullbody/0034.png
0035,"조홍","caohong",resources/officers/portraits/0035.png,resources/officers/fullbody/0035.png
0036,"조순","caochun",resources/officers/portraits/0036.png,resources/officers/fullbody/0036.png
0037,"조진","caozhen",resources/officers/portraits/0037.png,resources/officers/fullbody/0037.png
0038,"조휴","caoxiu",resources/officers/portraits/0038.png,resources/officers/fullbody/0038.png
0039,"조창","caozhang",resources/officers/portraits/0039.png,resources/officers/fullbody/0039.png
0040,"하후돈","xiahoudun",resources/officers/portraits/0040.png,resources/officers/fullbody/0040.png
0041,"하후연","xiahouyuan",resources/officers/portraits/0041.png,resources/officers/fullbody/0041.png
0042,"하후상","xiahoushang",resources/officers/portraits/0042.png,resources/officers/fullbody/0042.png
0043,"하후패","xiahouba",resources/officers/portraits/0043.png,resources/officers/fullbody/0043.png
0044,"전위","dianwei",resources/officers/portraits/0044.png,resources/officers/fullbody/0044.png
0045,"허저","xuchu",resources/officers/portraits/0045.png,resources/officers/fullbody/0045.png
0046,"장료","zhangliao",resources/officers/portraits/0046.png,resources/officers/fullbody/0046.png
0047,"악진","yuejin",resources/officers/portraits/0047.png,resources/officers/fullbody/0047.png
0048,"우금","yujin",resources/officers/portraits/0048.png,resources/officers/fullbody/0048.png
0049,"서황","xuhuang",resources/officers/portraits/0049.png,resources/officers/fullbody/0049.png
0050,"이전","lidian",resources/officers/portraits/0050.png,resources/officers/fullbody/0050.png
0051,"장합","zhanghe",resources/officers/portraits/0051.png,resources/officers/fullbody/0051.png
0052,"고람","gaolan",resources/officers/portraits/0052.png,resources/officers/fullbody/0052.png
0053,"장패","zangba",resources/officers/portraits/0053.png,resources/officers/fullbody/0053.png
0054,"만총","manchong",resources/officers/portraits/0054.png,resources/officers/fullbody/0054.png
0055,"문빙","wenpin",resources/officers/portraits/0055.png,resources/officers/fullbody/0055.png
0056,"방덕","pangde",resources/officers/portraits/0056.png,resources/officers/fullbody/0056.png
0057,"순욱","xunyu",resources/officers/portraits/0057.png,resources/officers/fullbody/0057.png
0058,"순유","xunyou",resources/officers/portraits/0058.png,resources/officers/fullbody/0058.png
0059,"곽가","guojia",resources/officers/portraits/0059.png,resources/officers/fullbody/0059.png
0060,"정욱","chengyu",resources/officers/portraits/0060.png,resources/officers/fullbody/0060.png
0061,"가후","jiaxu",resources/officers/portraits/0061.png,resources/officers/fullbody/0061.png
0062,"유엽","liuye",resources/officers/portraits/0062.png,resources/officers/fullbody/0062.png
0063,"사마의","simayi",resources/officers/portraits/0063.png,resources/officers/fullbody/0063.png
0064,"사마부","simafu",resources/officers/portraits/0064.png,resources/officers/fullbody/0064.png
0065,"사마사","simashi",resources/officers/portraits/0065.png,resources/officers/fullbody/0065.png
0066,"사마소","simazhao",resources/officers/portraits/0066.png,resources/officers/fullbody/0066.png
0067,"진군","chenqun",resources/officers/portraits/0067.png,resources/officers/fullbody/0067.png
0068,"종요","zhongyao",resources/officers/portraits/0068.png,resources/officers/fullbody/0068.png
0069,"화흠","huaxin",resources/officers/portraits/0069.png,resources/officers/fullbody/0069.png
0070,"왕랑","wanglang",resources/officers/portraits/0070.png,resources/officers/fullbody/0070.png
0071,"장제","jiangji",resources/officers/portraits/0071.png,resources/officers/fullbody/0071.png
0072,"동소","dongzhao",resources/officers/portraits/0072.png,resources/officers/fullbody/0072.png
0073,"양수","yangxiu",resources/officers/portraits/0073.png,resources/officers/fullbody/0073.png
0074,"모개","maojie",resources/officers/portraits/0074.png,resources/officers/fullbody/0074.png
0075,"등애","dengai",resources/officers/portraits/0075.png,resources/officers/fullbody/0075.png
0076,"종회","zhonghui",resources/officers/portraits/0076.png,resources/officers/fullbody/0076.png
0077,"곽회","guohuai",resources/officers/portraits/0077.png,resources/officers/fullbody/0077.png
0078,"학소","haozhao",resources/officers/portraits/0078.png,resources/officers/fullbody/0078.png
0079,"원소","yuanshao",resources/officers/portraits/0079.png,resources/officers/fullbody/0079.png
0080,"원담","yuantan",resources/officers/portraits/0080.png,resources/officers/fullbody/0080.png
0081,"원희","yuanxi",resources/officers/portraits/0081.png,resources/officers/fullbody/0081.png
0082,"원상","yuanshang",resources/officers/portraits/0082.png,resources/officers/fullbody/0082.png
0083,"안량","yanliang",resources/officers/portraits/0083.png,resources/officers/fullbody/0083.png
0084,"문추","wenchou",resources/officers/portraits/0084.png,resources/officers/fullbody/0084.png
0085,"저수","jushou",resources/officers/portraits/0085.png,resources/officers/fullbody/0085.png
0086,"전풍","tianfeng",resources/officers/portraits/0086.png,resources/officers/fullbody/0086.png
0087,"심배","shenpei",resources/officers/portraits/0087.png,resources/officers/fullbody/0087.png
0088,"곽도","guotu",resources/officers/portraits/0088.png,resources/officers/fullbody/0088.png
0089,"봉기","fengji",resources/officers/portraits/0089.png,resources/officers/fullbody/0089.png
0090,"순우경","chunyuqiong",resources/officers/portraits/0090.png,resources/officers/fullbody/0090.png
0091,"공손찬","gongsunzan",resources/officers/portraits/0091.png,resources/officers/fullbody/0091.png
0092,"전해","tiankai",resources/officers/portraits/0092.png,resources/officers/fullbody/0092.png
0093,"엄강","yanGang",resources/officers/portraits/0093.png,resources/officers/fullbody/0093.png
0094,"유우","liuyu",resources/officers/portraits/0094.png,resources/officers/fullbody/0094.png
0095,"한복","hanfu",resources/officers/portraits/0095.png,resources/officers/fullbody/0095.png
0096,"공융","kongrong",resources/officers/portraits/0096.png,resources/officers/fullbody/0096.png
0097,"도겸","taoqian",resources/officers/portraits/0097.png,resources/officers/fullbody/0097.png
0098,"유표","liubiao",resources/officers/portraits/0098.png,resources/officers/fullbody/0098.png
0099,"유기","liuqi",resources/officers/portraits/0099.png,resources/officers/fullbody/0099.png
0100,"유종","liucong",resources/officers/portraits/0100.png,resources/officers/fullbody/0100.png
0101,"유언","liuyan",resources/officers/portraits/0101.png,resources/officers/fullbody/0101.png
0102,"유장","liuzhang",resources/officers/portraits/0102.png,resources/officers/fullbody/0102.png
0103,"장로","zhanglu",resources/officers/portraits/0103.png,resources/officers/fullbody/0103.png
0104,"장수","zhangxiu",resources/officers/portraits/0104.png,resources/officers/fullbody/0104.png
0105,"장제","zhangji",resources/officers/portraits/0105.png,resources/officers/fullbody/0105.png
0106,"이각","lijue",resources/officers/portraits/0106.png,resources/officers/fullbody/0106.png
0107,"곽사","guosi",resources/officers/portraits/0107.png,resources/officers/fullbody/0107.png
0108,"번조","fanchou",resources/officers/portraits/0108.png,resources/officers/fullbody/0108.png
0109,"우보","niufu",resources/officers/portraits/0109.png,resources/officers/fullbody/0109.png
0110,"화웅","huaxiong",resources/officers/portraits/0110.png,resources/officers/fullbody/0110.png
0111,"동탁","dongzhuo",resources/officers/portraits/0111.png,resources/officers/fullbody/0111.png
0112,"여포","lvbu",resources/officers/portraits/0112.png,resources/officers/fullbody/0112.png
0113,"진궁","chengong",resources/officers/portraits/0113.png,resources/officers/fullbody/0113.png
0114,"고순","gaoshun",resources/officers/portraits/0114.png,resources/officers/fullbody/0114.png
0115,"위속","weixu",resources/officers/portraits/0115.png,resources/officers/fullbody/0115.png
0116,"송헌","songxian",resources/officers/portraits/0116.png,resources/officers/fullbody/0116.png
0117,"후성","houcheng",resources/officers/portraits/0117.png,resources/officers/fullbody/0117.png
0118,"장막","zhangmiao",resources/officers/portraits/0118.png,resources/officers/fullbody/0118.png
0119,"손견","sunjian",resources/officers/portraits/0119.png,resources/officers/fullbody/0119.png
